"","MLocID","Disturb.score","BPJ_final","Ref2020_FINAL","Lat_DD","Long_DD","StationDes","EcoRegion3"
"25","38121-ORDEQ",1,"Score","YES",44.1880476346,-124.054684427,"Rock Creek",1
"26","38124-ORDEQ",14.3333333333333,"N","NO",44.38314,-123.678,"Maltby Cr",1
"27","38124-ORDEQ",14.3333333333333,"N","NO",44.38314,-123.678,"Maltby Cr",1
"28","38132-ORDEQ",0,"Score","YES",44.2404189037,-124.059539509,"Bob Creek",1
"29","531-12-I",3,"Score","YES",42.49444972,-119.6875237,"531-12-I:Bond 38",80
"30","AF-LS-1205",3,"Score","YES",42.063704,-118.670968,"VAN HORN CREEK",80
"31","AF-SS-1204",2,"N","NO",42.048381,-118.698638,"DENIO CREEK",80
"32","AFR-SS-1290",2,"Score","YES",42.625316,-118.58625,"WILDHORSE CREEK",80
"33","AO-LS-1192",0,"Score","YES",42.078483,-118.737096,"STONEHOUSE CREEK",80
"34","AO-SS-1113",16,"Score","NO",42.859232,-118.467173,"DEEP CREEK",80
"35","AO-SS-1140",1,"Score","YES",42.064135,-118.716044,"EAST CREEK",80
"36","AR-LS-1233",1,"Score","YES",42.593093,-118.649079,"SOUTH ANKLE CREEK",80
"37","AR-LS-1246",4,"Score","YES",42.645982,-118.708929,"INDIAN CREEK",80
"38","AR-SS-1245",3,"Score","YES",42.608632,-118.705401,"MUD CREEK",80
"39","BA-TR-1000",3,"Score","YES",42.865428,-118.559609,"KIGER CREEK",80
"40","BA-TR-1212",14,"N","NO",42.166917,-118.306668,"LITTLE TROUT CREEK",80
"41","BA-TR-1342",3,"Score","YES",42.872927,-118.406356,"LITTLE STONEHOUSE",80
"42","BA-TR-1458",10,"N","NO",42.426616,-118.663721,"CARLSON CREEK",80
"43","BT-SS-1047",5,"Score","YES",42.968348,-118.43976,"COYOTE CREEK",80
"44","BT-TR-1002",12,"N","NO",43.775187,-119.140775,"LANDING CREEK",11
"45","BT-TR-1246",12,"N","NO",43.076868,-118.478312,"PAUL CREEK",80
"46","DFW_2876",13,"N","NO",44.47712,-123.97,"Cedar Cr",1
"47","DFW_6104",21,"Score","NO",43.9046,-124.0326,"Carle Cr",1
"48","LL-LS-1026",14,"N","NO",42.012974,-119.942121,"HORSE CREEK",80
"49","MO-LS-1001",11,"Score","YES",42.203249,-117.990037,"OREGON CANYON CREEK",80
